,Q_Learning,SARSA,SARSA_PIES
235,23.6,24.7,26.3
236,24.2,22.5,22.1
237,24,22.8,25
238,22.7,29.1,21.8
239,25,25.9,22.2
240,23.7,24.6,24.5
241,25,23,22.5
242,26.9,25.9,21.7
243,25.8,26.4,22
244,23.6,27.4,22
245,24.2,25.1,23.3
246,24.6,27,22.3
247,25.2,24.9,22.3
248,26.3,25.4,24.5
249,25.6,25.2,22.2
250,29.2,24.3,21
251,27.7,25.1,21.2
252,25.1,25.2,22.6
253,27.3,25.9,23.7
254,25.6,26.1,20.9
255,23.3,27.9,22.6
256,23.7,25.7,23.7
257,24.2,25,23.4
258,24.9,21.7,22.5
259,23.7,25,22
260,24.1,25.5,22.3
261,24.5,25,22.4
262,27.1,24.4,21.8
263,25.9,24,23.6
264,25.8,24.7,22.2
265,25,26.7,23
266,23.1,27.2,21.9
267,24.3,23.6,23.4
268,24.5,24.8,23
269,26,26.7,22.6
270,25.1,25.3,22.9
271,22.6,22.4,24.1
272,23.9,22.9,21.3
273,23.7,23.9,21.7
274,24.5,28.8,20.7
275,24,24.8,22.5
276,26.4,24.5,21.4
277,24.3,25.5,23
278,23.3,22.5,20.3
279,24.2,26.3,21.9
280,24.2,25.5,21.4
281,23.9,24.5,23
282,25.7,24.7,22.9
283,21.7,25.6,21.1
284,26.4,25.8,24.2
285,26.2,22.6,21
286,23.8,22.7,24.5
287,23.5,23.3,23.6
288,23.8,23,20.2
289,26.2,26.9,23
290,26.5,25.1,22.6
291,25.4,26.4,22.7
292,21.7,24,24.3
293,24.9,24.6,20.1
294,25,25,22.8
295,22,22.9,22
296,25.4,25.6,21.7
297,25.1,23,22.1
298,26.3,24.5,21.8
299,25.6,24.9,22.6
