,Q_Learning,SARSA,SARSA_PIES
0,2572.4,2334.9,3135.1
1,4348.4,3585.3,812
2,1990.2,3120.3,854.5
3,2238.8,2903.9,199.9
4,1743.6,2641.1,280.2
5,1933.6,1765.5,49.7
6,1812.4,1295.9,47.7
7,1524.2,1369.3,167.4
8,1467.8,2050.6,49.3
9,1261.4,1465.5,48.5
10,1119.6,2105.3,53.3
11,1318,1256.4,67.5
12,2100.7,2243.9,55.1
13,1515.3,1690.4,47.9
14,884.4,2092.4,136
15,1161.2,969.7,104
16,911.7,1410.7,52
17,1276.6,1115.1,53.7
18,866.1,1028.5,46.1
19,1633.8,778.5,46.2
20,956,1402.9,135.1
21,878.5,1130.1,47.4
22,919.7,994.7,44.3
23,875.5,861,55.7
24,627.1,570.8,45.3
25,777,855.5,50.1
26,898.9,834,47.4
27,1198.6,836,47.1
28,1067.4,944.3,63.2
29,623.2,782.3,43.9
30,752.4,1049.9,49
31,705.3,1105.1,50.7
32,819.7,918.5,52.5
33,1054.8,522.5,55.5
34,785.5,903.1,46.6
35,665.7,859.1,46.3
36,479.2,521.6,45.6
37,436.6,912.6,47.9
38,529.6,782,51.2
39,676.6,682.6,44.4
40,959.4,1082.1,46.8
41,651.8,625.2,53.1
42,608.4,550.1,45.9
43,464.4,562.7,51.5
44,380.2,652.7,45.3
45,537.3,697.4,54.1
46,310.5,607.4,105.6
47,428.8,817,47.9
48,558.2,598,48.7
49,427.7,388.5,45.8
50,394.5,595,47
51,686.7,608.9,52.4
52,458.1,457.3,52
53,438.9,488.5,48.1
54,624.7,528.9,53
55,367.7,545.6,47.6
56,309.1,521.1,50.6
57,519,510.8,48.8
58,421.2,352,49.3
59,302.1,426,49
60,311.5,456.6,49.6
61,401.1,417.6,43.4
62,202.9,404.5,46.2
63,268.1,388.5,47.7
64,340.9,251.6,46.9
65,264.6,245.4,48.1
66,321.8,327.1,47.6
67,362.2,264.1,51.8
68,246.7,473.8,45.1
69,213.1,361.8,199.4
70,387.2,243,46.4
71,291.5,355.9,47.7
72,193.5,378.3,45.1
73,232.7,409.6,48.9
74,310.1,219.4,48.6
75,193.2,359.3,47.3
76,300.3,273.6,48.1
77,230.4,301.5,46.5
78,299.3,184.4,46.6
79,252,231.2,47.8
80,182.4,205.2,48.4
81,249.1,237.8,47.7
82,147.9,238.4,50.8
83,171.9,165.6,51.6
84,186.1,246.6,49.4
85,128.7,170.4,49.1
86,168.2,362.8,86.5
87,144,191.9,48.5
88,142.6,189.5,49
89,124.6,240.9,68.8
90,91.8,148.4,49.8
91,117.1,281.5,49.2
92,129.3,128.3,48.2
93,86.3,222.9,49
94,88.2,243.5,47
95,86.5,170.1,48.9
96,86.2,223.4,45
97,70.4,178.5,46.9
98,95.6,183.4,48.6
99,77.6,174.4,56
100,78.5,196.7,50.9
101,117.4,123.5,45.9
102,66.4,137.8,48
103,131,154.5,48.3
104,78.3,161.2,56.3
105,61.5,127.3,47.1
106,88.2,156.8,49.1
107,66.5,133.3,46.9
108,84.3,116.3,46.7
109,60.6,118.6,44.7
110,60,121.9,45.8
111,82.4,155,46.7
112,102.8,173.6,47.3
113,57.3,117.6,45.9
114,71,184.6,48
115,63.4,93,49.7
116,59.1,111.4,49
117,55.8,97,47.3
118,62.9,104.5,47.5
119,79.1,129.1,47.2
120,55.6,105.9,47.5
121,71.4,77.7,50.6
122,63.7,80.8,45.3
123,53.5,82.5,72.9
124,55.3,98.6,46.6
125,63.4,101,47
126,55.6,78.9,48.2
127,57.3,117.2,44.6
128,57.5,64.3,48.2
129,56.7,95.3,46.4
130,57,82.8,45.3
131,53.7,100.6,46.2
132,54.9,83.5,46.6
133,55.9,72.7,49.5
134,59.6,76.1,48.7
135,57.1,75.3,49.4
136,53.8,134.1,46
137,51.1,75,48.4
138,50.3,81.2,47.7
139,54.8,67.3,46.3
140,51.5,70.7,44.2
141,53.1,59.5,47
142,50.9,66.3,46.8
143,52.6,69.2,45.9
144,52.8,59.2,48.8
145,57.7,66.4,47.1
146,52.5,58.6,47.8
147,49.5,83.5,49.4
148,54.2,54.2,49.2
149,53.9,57.8,47
150,49.5,64.3,45.8
151,51.7,60,48.6
152,51,47.9,47.5
153,55.5,62,46.9
154,52.7,56.6,47.9
155,52.7,50.4,46.2
156,54.1,55,47.8
157,54.5,62.4,47.2
158,52.7,54.4,49.5
159,51.3,63.9,50.5
160,50.9,56.9,47.6
161,56.4,57.5,45.8
162,58.2,56.7,48.6
163,54.7,55.9,47.5
164,51.9,51.9,60.3
165,53.1,54.3,68.1
166,52.4,57,47.1
167,48.9,53.1,47.1
168,53.5,54.4,48.6
169,53.6,54.7,49.2
170,53.9,51.7,47.9
171,54.7,51.5,44.6
172,53.5,56.8,48.5
173,53.3,49.7,44.9
174,50.2,60.9,46.8
175,49.9,54.3,46.5
176,52,52.3,50.2
177,53.1,50.9,49.6
178,51.2,51.4,48.5
179,51.5,54.3,52.1
180,52,50.1,47.2
181,51.1,50.5,46.3
182,54.8,49.5,47.2
183,53.6,52,47.5
184,50.4,51.6,49.2
185,50.9,51.1,48.7
186,50.9,52.9,46.9
187,50.4,52.8,45.9
188,51.4,52.6,45.8
189,51.4,52.2,47.4
190,52,49.7,47.8
191,53.4,48,45.4
192,51.7,52.2,48.1
193,52.5,49.9,50.2
194,57.1,50.7,45.7
195,55.9,52.3,48.1
196,49.9,54.2,48.7
197,51.4,51.7,47.2
198,61.6,52.8,47
199,54.9,57.5,49.2
200,55.2,51.6,47.2
201,57,48.9,45.3
202,51.6,51.3,48.6
203,52.4,52.2,47.7
204,53.4,55.3,44.1
