,Q_Learning,SARSA,SARSA_PIES
0,92.9,107.6,63.1
1,100.2,162.6,19.2
2,91.2,106.8,10
3,63.9,62.6,10.1
4,43.2,43,10.7
5,38.9,26.2,9.5
6,42.9,37.7,9.2
7,36.4,29,13.3
8,21.5,21,10.2
9,17.2,31.2,10.6
10,18.8,25.9,11
11,14.7,18.8,11
12,13.5,18.2,9.7
13,19.4,17.3,10.4
14,13,18.8,9.9
15,11.3,16.9,9.7
16,12.1,12.8,9.9
17,11.9,11,10.9
18,11.1,12.3,10.3
19,11.8,11,10.2
20,11.6,10.6,11.2
21,12.9,11,10.4
22,12.1,13.1,9.7
23,12.9,13.4,11.4
24,11.8,11.8,9.6
25,12.5,11.1,9.7
26,10.6,15.7,10.1
27,12.1,12.8,10.5
28,12.9,11.7,10
29,11.9,11.3,9.9
30,10.4,11.5,9.1
31,12.5,10.9,9.8
32,9.9,12.2,10
33,11.2,14.9,9.9
34,13.9,12.8,9.7
35,11.7,10.6,11.2
36,11.1,12.6,10.9
37,10.8,11.4,9.4
38,10.8,12.2,9.1
39,10.5,12.5,9.2
40,11.6,11.8,10.9
41,11.6,10.7,9.7
42,11.1,9.9,9.5
43,11.1,10.8,10.6
44,11.4,11.9,10.5
45,13.7,11.3,10.6
46,11.5,13,10.3
47,10.4,10.9,9.8
48,12.1,13.1,9.5
49,10.8,11.9,11.4
50,10.4,11.4,9.5
51,11.2,13.4,10
52,11.9,12.6,9.9
53,10.6,10.8,10.1
54,12.4,11.3,10
55,11.3,10.1,9.2
56,12.5,11.7,9.6
57,11.4,10.7,10.2
58,12.8,11,9.7
59,12.1,10.7,9.3
60,12.1,12.2,10.7
61,10.6,10.8,10.5
62,11.4,13.1,9.2
63,11.5,11.5,10.7
64,10.4,10.3,9.1
65,13,10,10.5
66,10.3,12.6,8.5
67,10.3,11.4,9.5
68,10.1,10.8,9.9
69,11.3,11.7,11
70,11.8,13.9,10.9
71,10.9,11.4,9.7
72,12,12.3,9.4
73,12.2,11.8,8.9
74,10.2,12.3,9.6
75,10.8,10.9,9.8
76,11,11.7,9.6
77,10.8,12.8,9.1
78,11.1,13.8,10
79,11.6,11.3,10.4
80,10.8,12.6,9.9
81,13.9,11.4,10.3
82,12,12.4,11
83,10.2,11.4,9.7
84,10.5,11.2,10.4
85,11.5,11.1,10.2
86,12.4,11.2,8.7
87,11.8,9.2,8.6
88,11.1,9.9,10.4
89,12.8,11.9,9
90,9.8,11.2,9.9
91,10.6,10.7,9.6
92,11.2,10.8,9.8
93,11.3,10.3,9
94,9.9,12.3,8.9
95,10.4,9.7,9.6
96,11.4,13.2,8.5
97,11.6,15.9,10
98,10.9,12,9.4
99,13.3,12.7,10
