,Q_Learning,SARSA,SARSA_PIES
227,30.0,30.3,56.4
228,28.7,29.8,57.3
229,29.6,28.4,54.0
230,30.1,32.3,61.3
231,29.3,28.4,53.2
232,29.4,27.8,58.4
233,29.7,30.7,53.8
234,28.1,26.9,53.1
235,27.7,32.2,57.9
236,28.8,28.5,55.3
237,30.6,28.4,55.1
238,27.4,28.2,58.6
239,29.0,29.0,54.3
240,31.4,30.0,55.9
241,29.9,31.7,53.3
242,29.6,31.0,56.7
243,30.8,31.9,57.9
244,28.3,31.8,59.6
245,32.3,29.4,56.4
246,30.4,32.0,56.9
247,30.9,28.8,64.9
248,27.3,28.4,61.6
249,31.9,30.9,57.2
250,30.2,29.9,59.6
251,29.6,31.6,59.0
252,30.3,29.6,57.4
253,28.1,26.8,56.1
254,28.7,30.9,54.4
255,28.3,27.6,59.1
256,29.2,29.8,60.0
257,30.4,29.4,60.2
258,32.5,26.1,53.8
259,29.6,26.8,63.4
260,28.7,29.1,55.9
261,31.0,28.7,59.2
262,29.4,32.2,59.7
263,28.5,27.4,62.8
264,28.1,27.6,57.4
265,28.6,32.5,57.8
266,31.3,32.0,56.6
267,31.4,28.8,60.6
268,30.2,31.6,57.7
269,29.3,28.8,64.5
270,29.2,29.2,63.8
271,28.7,30.0,61.5
272,28.7,30.3,64.5
273,28.3,32.4,60.8
274,26.9,30.1,57.6
275,28.5,29.7,65.6
276,31.1,30.7,58.6
277,30.4,30.6,59.5
278,31.8,25.9,58.8
279,28.1,28.5,60.2
280,28.5,29.9,58.5
281,27.7,31.3,60.6
282,28.7,31.1,56.6
283,27.7,31.2,58.4
284,28.9,29.0,58.8
285,27.1,29.1,61.1
286,30.5,30.0,66.8
287,31.2,29.8,61.1
288,28.5,27.8,58.5
289,28.7,28.4,56.7
290,30.8,30.0,59.2
291,29.1,30.6,57.5
292,32.6,28.1,59.1
293,29.8,28.3,63.4
294,28.9,33.6,55.6
295,28.0,29.4,53.6
296,26.4,29.4,56.3
297,27.2,29.9,58.2
298,29.7,31.8,59.8
299,29.4,29.1,57.1
300,29.8,32.2,56.7
301,29.9,33.2,56.2
302,29.4,30.1,53.5
303,34.1,28.2,56.0
304,29.7,31.3,56.8
305,33.5,30.9,58.0
306,29.0,28.4,57.0
307,28.3,29.4,56.4
308,29.3,29.2,56.3
309,29.1,28.4,60.7
310,30.9,29.3,54.9
311,28.8,28.8,58.1
312,28.0,28.4,55.0
313,27.7,29.7,54.9
314,28.0,29.0,53.1
315,31.2,30.0,59.2
316,27.9,28.8,56.4
317,31.3,28.2,56.0
318,30.2,30.8,56.8
319,30.7,29.2,52.3
320,30.8,29.8,56.8
321,29.7,27.3,55.5
322,28.9,30.1,58.4
323,27.7,27.8,53.3
324,28.4,26.1,58.2
325,28.7,27.0,53.1
326,27.9,29.9,54.7
327,31.6,30.7,54.3
328,27.6,27.4,56.9
329,28.5,27.9,55.7
330,30.1,31.0,53.8
331,27.0,29.1,51.2
332,27.1,29.6,56.3
333,27.3,30.9,54.7
334,30.4,26.9,56.4
335,28.0,29.4,58.0
336,27.3,29.9,54.8
337,29.1,29.8,55.3
338,26.9,31.9,54.3
339,30.5,26.9,55.6
340,28.5,28.5,58.7
341,29.6,28.8,51.4
342,29.0,29.6,57.0
343,27.6,30.1,56.0
344,32.0,29.8,57.6
345,29.3,28.8,55.8
346,30.4,26.1,55.8
347,28.7,29.4,58.2
348,29.9,30.3,58.0
349,28.4,27.2,54.8
350,29.0,29.8,54.8
351,29.8,27.9,55.7
352,27.8,27.4,52.6
353,30.1,31.2,51.2
354,26.6,27.7,57.7
355,26.1,30.0,56.7
356,29.9,29.7,54.6
357,29.8,28.8,57.4
358,29.3,29.7,58.2
359,28.9,27.3,55.3
360,29.6,28.3,56.4
361,29.9,26.4,54.3
362,29.5,28.1,55.7
363,31.0,27.9,58.8
364,27.9,30.8,55.0
365,30.1,28.9,56.1
366,29.7,28.2,56.1
367,26.3,29.2,58.7
368,31.7,28.6,55.0
369,28.0,29.3,55.6
370,30.6,29.3,53.5
371,26.4,28.2,56.6
372,28.0,27.6,53.8
373,31.0,29.5,55.1
374,29.0,27.8,54.2
375,29.7,29.2,54.0
376,28.0,28.8,56.7
377,28.1,30.6,55.4
378,28.2,30.0,58.5
379,27.4,29.9,55.7
380,30.8,30.3,55.4
381,31.8,28.3,55.5
382,28.1,29.2,54.0
383,28.0,28.2,55.0
384,28.1,29.9,52.2
385,32.0,31.0,60.2
386,29.5,27.4,54.2
387,30.4,29.4,54.5
388,28.4,27.1,56.5
389,28.0,29.4,57.3
390,29.4,28.7,56.0
391,32.2,29.6,53.0
392,29.3,27.0,54.5
393,28.8,29.4,57.2
394,28.7,27.7,58.2
395,29.6,29.8,52.3
396,33.4,30.8,56.9
397,27.7,28.3,55.9
398,29.6,31.1,55.4
399,30.0,27.9,57.0
400,27.5,29.3,58.9
401,28.2,30.0,52.2
402,31.5,29.2,51.0
403,29.1,27.5,56.8
404,29.2,27.9,53.5
405,28.4,27.9,52.8
406,27.6,28.3,54.0
407,31.9,28.9,56.9
408,29.1,27.6,55.5
409,30.0,30.2,52.4
410,26.4,28.9,56.6
411,27.9,28.5,54.4
412,30.7,29.3,55.7
413,31.6,32.2,53.6
414,29.4,27.5,56.3
415,29.9,26.9,57.6
416,27.4,30.1,55.2
417,28.1,27.0,58.3
418,31.5,29.6,55.5
419,30.9,28.8,55.5
420,30.9,29.7,54.5
421,28.0,28.6,54.5
422,27.4,27.9,55.8
423,33.3,28.6,54.4
424,30.6,31.9,54.7
425,28.2,29.4,55.3
426,29.5,30.4,53.6
427,29.7,29.9,56.9
428,27.2,27.6,56.8
429,29.5,29.6,54.2
430,30.1,30.1,56.9
431,30.0,31.2,56.4
432,30.8,32.9,53.6
433,26.7,28.6,54.6
434,28.6,29.0,53.4
435,28.8,30.7,54.5
436,28.3,30.5,52.7
437,27.5,29.3,52.9
438,28.6,26.9,56.4
439,28.7,26.9,55.8
440,28.3,29.3,55.9
441,31.4,30.4,51.8
442,27.7,31.3,54.1
443,27.8,27.4,53.7
444,29.5,28.5,53.5
445,29.6,30.0,55.9
446,29.0,30.5,54.2
447,28.1,28.5,54.7
448,26.3,27.2,53.2
449,29.8,29.5,53.8
450,28.6,28.7,55.0
451,26.9,29.0,56.4
452,28.5,28.3,52.6
453,26.4,31.6,52.4
454,28.4,31.0,55.5
455,30.8,28.5,56.9
456,27.1,29.8,57.8
457,32.6,28.4,58.9
458,27.3,27.3,52.9
459,26.3,28.9,56.4
460,29.9,27.4,52.8
461,27.6,29.2,56.4
462,32.6,27.7,54.3
463,29.8,32.6,55.4
464,27.2,28.1,54.8
465,29.0,29.7,55.8
466,29.1,28.7,53.8
467,28.9,29.7,55.7
468,29.4,27.9,58.3
469,29.5,30.9,54.0
470,28.4,29.3,55.4
